cik,name,ticker,sic,industry
1113313,ARVANA INC,['AVNI'],6770,"""BLANK CHECKS"""
1113481,MEDICINES CO /DE,[],2834,"""PHARMACEUTICAL PREPARATIONS"""
1113513,"MobileSmith, Inc.",[],7372,"""SERVICES-PREPACKAGED SOFTWARE"""
1113809,BUILD-A-BEAR WORKSHOP INC,['BBW'],5945,"""RETAIL-HOBBY, TOY & GAME SHOPS"""
1114208,"NightCulture, Inc.",[],7900,"""SERVICES-AMUSEMENT & RECREATION SERVICES"""
1114220,KERYX BIOPHARMACEUTICALS INC,[],2834,"""PHARMACEUTICAL PREPARATIONS"""
1114483,Integer Holdings Corp,['ITGR'],3845,"""ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS"""
1114925,LANTRONIX INC,['LTRX'],3576,"""COMPUTER COMMUNICATIONS EQUIPMENT"""
1114927,FIRST NORTHERN COMMUNITY BANCORP,['FNRN'],6035,"""SAVINGS INSTITUTION, FEDERALLY CHARTERED"""
1114995,IMPINJ INC,['PI'],3679,"""ELECTRONIC COMPONENTS, NEC"""
1115055,PINNACLE FINANCIAL PARTNERS INC,"['PNFP', 'PNFPP']",6021,"""NATIONAL COMMERCIAL BANKS"""
1115128,Quotient Technology Inc.,[],7310,"""SERVICES-ADVERTISING"""
1115222,DUN & BRADSTREET CORP/NW,[],7320,"""SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES"""
1115836,Belmond Ltd.,[],7011,"""HOTELS & MOTELS"""
1115975,SILVERGRAPH INTERNATIONAL INC,[],7330,"""SERVICES-MAILING, REPRODUCTION, COMMERCIAL ART & PHOTOGRAPHY"""
1116112,US FUEL CORP,[],2911,"""PETROLEUM REFINING"""
1116132,"TAPESTRY, INC.",['TPR'],3100,"""LEATHER & LEATHER PRODUCTS"""
1116463,ORASURE TECHNOLOGIES INC,['OSUR'],3841,"""SURGICAL & MEDICAL INSTRUMENTS & APPARATUS"""
1116521,AVAYA INC,[],3661,"""TELEPHONE & TELEGRAPH APPARATUS"""
1116927,GEOPETRO RESOURCES CO,[],1382,"""OIL & GAS FIELD EXPLORATION SERVICES"""
